Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C10, C11, C12, C6, C7, C8, C9",0603,7,100nF,
"C3, C4",0603,2,4.7uF,
C5,0603,1,1uF,
D1,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
J1,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09,
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J3,TerminalBlock_bornier-2_P5.08mm,1,Power,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Screen-2,
"R1, R2, R4",0603,3,5.1k,
"R10, R12, R13, R14, R19, R3, R6, R7, R8, R9",0603,10,10k,
R11,0603,1,100kΩ,
R15,0603,1,1.5k,
"R16, R17, R18",0603,3,10kΩ,
R5,0603,1,2k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"SW2, SW3, SW4",SW_PUSH_6mm,3,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP8",TestPoint_Pad_4.0x4.0mm,6,TestPoint,
U1,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,ESP-WROOM-02,1,ESP-WROOM-02,
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,NAND,
